ID,Name,Start Time,Location,Host URL,Time Updated
54,University Worship,12/25/2016 11:00,Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-5434eacf-0154-350a21e0-00001075demobedework%40mysite.edu_20161225T160000Z,2016-12-14 10:05:33.763900
55,Youth Fellowship,12/25/2016 17:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-56b915eb-0156-c334f3a4-000058e4demobedework%40mysite.edu_20161225T220000Z,2016-12-14 10:05:33.763905
56,Merry Christmas,12/25/2016 17:30,McClendon Commons,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58d2ab14-0158-da4ca803-0000355edemobedework%40mysite.edu,2016-12-14 10:05:33.763911
57,Duke Toastmasters Meeting,12/28/2016 7:00,Duke Credit Union 2200 W. Main Street,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-57832023-0157-8a6e43ab-0000637ddemobedework%40mysite.edu_20161228T120000Z,2016-12-14 10:05:33.763916
59,Midweek Prayer,12/28/2016 11:30,Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-569760a6-0156-b2677305-00004ac4demobedework%40mysite.edu_20161228T163000Z,2016-12-14 10:05:33.763927
60,Women's Basketball vs. Kentucky,12/29/2016 19:00,Cameron Indoor Stadium,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-57dc1ede-0157-dd95767e-00005544demobedework%40mysite.edu,2016-12-14 10:05:33.763938
61,Jummah,12/30/2016 12:45,Gray 229 (York Reading Room),calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-56517d87-0156-6b626a94-000023c5demobedework%40mysite.edu_20161230T174500Z,2016-12-14 10:05:33.763944
62,Men's Basketball at Virginia Tech,12/31/2016 12:00,Blacksburg Va.,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-57d2ac3d-0157-d8624879-00002328demobedework%40mysite.edu,2016-12-14 10:05:33.763950
63, Wee Praise (Westbrook Building),1/01/2017 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a3099922-00006f7bdemobedework%40mysite.edu_20170101T144500Z,2016-12-14 10:05:33.763955
64, Godly Play (Langford Building),1/01/2017 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a30b62e2-00006fd0demobedework%40mysite.edu_20170101T144500Z,2016-12-14 10:05:33.763961
65, Youth Sunday School (Westbrook Building),1/01/2017 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a30e2e9f-00007079demobedework%40mysite.edu_20170101T144500Z,2016-12-14 10:05:33.763966
66, Adult Forum (Westbrook Building),1/01/2017 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a306dbfb-00006e86demobedework%40mysite.edu_20170101T144500Z,2016-12-14 10:05:33.763971
67, Wee Praise (Westbrook Building),1/01/2017 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-56b915eb-0156-c334f3a4-000058e4demobedework%40mysite.edu_20170101T220000Z,2016-12-14 10:05:33.763976
68,University Worship,1/01/2017 11:00,Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-5434eacf-0154-350a21e0-00001075demobedework%40mysite.edu_20170101T160000Z,2016-12-14 10:05:33.763981
69,Walk on the Wild Side,1/01/2017 11:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-569760a6-0156-9e299de0-00002ef0demobedework%40mysite.edu_20170101T160000Z,2016-12-14 10:05:33.763986
70, Catholic Mass - Goodson Chapel (Solemnity of Mary Mother of God),1/01/2017 11:00,Goodson Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-588c9b07-0158-b068ced4-00005da7demobedework%40mysite.edu,2016-12-14 10:05:33.763991
71,Catholic Center Mass - Solemnity of Mary Mother of God,1/01/2017 21:00,Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58d2ab14-0158-db52371a-00005454demobedework%40mysite.edu,2016-12-14 10:05:33.763997
72,Women's Basketball vs. Louisville,1/02/2017 19:00,Cameron Indoor Stadium,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-57dc1ede-0157-dd95f8c0-00005599demobedework%40mysite.edu,2016-12-14 10:05:33.764002
73,LIVE FOR LIFE @ Duke Blood Pressure Screening - Hudson Eye Center 4th Floor Break Room,1/03/2017 10:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58d29677-0158-e45ef31e-0000506cdemobedework%40mysite.edu,2016-12-14 10:05:33.764008
75,Midweek Prayer,1/04/2017 11:30,Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-569760a6-0156-b2677305-00004ac4demobedework%40mysite.edu_20170104T163000Z,2016-12-14 10:05:33.764017
76,PRATTically Speaking Toastmasters Club Meeting,1/04/2017 12:00,Hudson Hall 207,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-5824363a-0158-30d65c14-0000534edemobedework%40mysite.edu_20170104T170000Z,2016-12-14 10:05:33.764022
77,Men's Basketball vs. Georgia Tech,1/04/2017 19:00,Cameron Indoor Stadium,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-57d2ac3d-0157-d863253d-0000241ddemobedework%40mysite.edu,2016-12-14 10:05:33.764028
78,LIVE FOR LIFE @ Duke HealthCheck - MSRB 1 David Sabiston Room,1/05/2017 11:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58d29677-0158-e54a904e-00007f76demobedework%40mysite.edu,2016-12-14 10:05:33.764033
79,San Francisco: Duke Law Alumni Reception at AALS Annual Meeting,1/05/2017 17:00,San Francisco CA,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-58d2ab14-0158-e028a86e-00001da1demobedework%40mysite.edu,2016-12-14 10:05:33.764039
80,Women's Basketball at Georgia Tech,1/05/2017 19:00,Atlanta GA,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-57dc1ede-0157-dd968d60-00005642demobedework%40mysite.edu,2016-12-14 10:05:33.764044
81,Genomics of Electrocardiographic QT Interval,1/06/2017 10:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58eecd42-0158-f8d5c581-00000762demobedework%40mysite.edu,2016-12-14 10:05:33.764052
82,Jummah,1/06/2017 12:45,Gray 229 (York Reading Room),calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-56517d87-0156-6b626a94-000023c5demobedework%40mysite.edu_20170106T174500Z,2016-12-14 10:05:33.764058
83,Men's Basketball vs. Boston College,1/07/2017 14:00,Cameron Indoor Stadium,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-57d2ac3d-0157-d863ccc2-00002472demobedework%40mysite.edu,2016-12-14 10:05:33.764063
84,Undergraduate Winter Forum,1/08/2017 00:01,None,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-54c7ebdc-0154-eeac5f0a-000001d7demobedework%40mysite.edu,2016-12-14 10:05:33.764069
